review_text,rating,word_count,is_fake,is_duplicate,emojis,sentiment,scores,compound,label,review_len
Good product under budget,4.0,4,0,1,,Positive,"{'neg': 0.0, 'neu': 0.508, 'pos': 0.492, 'compound': 0.4404}",0.4404,2,4
इस्तेमाल करने में आसान और हल्का है।,4.0,7,0,0,,Positive,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,2,7
स्पेस खूप कमी आहे आतमध्ये.,2.0,5,0,0,,Negative,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0,5
Poor,1.0,1,0,1,,Negative,"{'neg': 1.0, 'neu': 0.0, 'pos': 0.0, 'compound': -0.4767}",-0.4767,0,1
don't buy,4.0,2,0,1,,Positive,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,2,2
We got rid of the maid right away *****,5.0,9,0,1,,Positive,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,2,9
Catvision settop box,4.0,3,0,1,,Positive,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,2,3
Good cooler,5.0,2,1,1,,Positive,"{'neg': 0.0, 'neu': 0.256, 'pos': 0.744, 'compound': 0.4404}",0.4404,2,2
awwwwwwwwsome Ã°ÂÂÂ,5.0,2,1,0,,Positive,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,2,2
हमेशा की तरह बेस्ट सर्विस और प्रोडक्ट।,5.0,7,0,0,,Positive,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,2,7
Nice Product and very fast delivery,5.0,6,0,1,,Positive,"{'neg': 0.0, 'neu': 0.641, 'pos': 0.359, 'compound': 0.4215}",0.4215,2,6
Brilliant (Must have product in kitchen),5.0,6,0,1,,Positive,"{'neg': 0.0, 'neu': 0.568, 'pos': 0.432, 'compound': 0.5859}",0.5859,2,6
Good buy,3.0,2,0,1,,Positive,"{'neg': 0.0, 'neu': 0.256, 'pos': 0.744, 'compound': 0.4404}",0.4404,2,2
Nice Mixer,5.0,2,1,1,,Positive,"{'neg': 0.0, 'neu': 0.263, 'pos': 0.737, 'compound': 0.4215}",0.4215,2,2
Highly recommended....,5.0,2,1,1,,Positive,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,2,2
Good Router!!!,5.0,2,1,1,,Positive,"{'neg': 0.0, 'neu': 0.209, 'pos': 0.791, 'compound': 0.5826}",0.5826,2,2
Switch has stopped working,1.0,4,0,1,,Negative,"{'neg': 0.388, 'neu': 0.612, 'pos': 0.0, 'compound': -0.2263}",-0.2263,0,4
Wonderful product and quick delivery.,5.0,5,0,1,,Positive,"{'neg': 0.0, 'neu': 0.519, 'pos': 0.481, 'compound': 0.5719}",0.5719,2,5
Worst experience ever!,1.0,3,0,1,,Negative,"{'neg': 0.687, 'neu': 0.313, 'pos': 0.0, 'compound': -0.6588}",-0.6588,0,3
Genunie product worth the money!!!,5.0,5,0,1,,Positive,"{'neg': 0.0, 'neu': 0.59, 'pos': 0.41, 'compound': 0.4168}",0.4168,2,5
Artesia Folding Sheesham Wood Relaxing Chair,5.0,6,0,1,,Positive,"{'neg': 0.0, 'neu': 0.61, 'pos': 0.39, 'compound': 0.4939}",0.4939,2,6
Best product for the price,5.0,5,0,1,,Positive,"{'neg': 0.0, 'neu': 0.488, 'pos': 0.512, 'compound': 0.6369}",0.6369,2,5
Nice product,4.0,2,0,1,,Positive,"{'neg': 0.0, 'neu': 0.263, 'pos': 0.737, 'compound': 0.4215}",0.4215,2,2
poor installation & demo,4.0,4,0,1,,Positive,"{'neg': 0.608, 'neu': 0.392, 'pos': 0.0, 'compound': -0.4767}",-0.4767,2,4
availability,1.0,1,0,1,,Negative,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0,1
Only one RAM slot,3.0,4,0,1,,Neutral,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,1,4
Thank u filipkart,5.0,3,0,1,,Positive,"{'neg': 0.0, 'neu': 0.286, 'pos': 0.714, 'compound': 0.3612}",0.3612,2,3
"आंख बंद करके खरीद लो, बेस्ट है।",5.0,7,0,0,,Positive,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,2,7
"डिस्काउंट में मिला, पैसा वसूल डील थी।",5.0,7,0,0,,Positive,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,2,7
Capacity is too low,2.0,4,0,1,,Negative,"{'neg': 0.412, 'neu': 0.588, 'pos': 0.0, 'compound': -0.2732}",-0.2732,0,4
one of the best inverter,3.0,5,0,1,,Positive,"{'neg': 0.0, 'neu': 0.488, 'pos': 0.512, 'compound': 0.6369}",0.6369,2,5
Brilliantly ball,5.0,2,1,1,,Positive,"{'neg': 0.0, 'neu': 0.2, 'pos': 0.8, 'compound': 0.6124}",0.6124,2,2
"Best in its class, borderless with IPS Panel.",5.0,8,0,1,,Positive,"{'neg': 0.0, 'neu': 0.625, 'pos': 0.375, 'compound': 0.6369}",0.6369,2,8
Thik hi hai,5.0,3,0,1,,Positive,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,2,3
Nice Product....,4.0,2,0,1,,Positive,"{'neg': 0.0, 'neu': 0.263, 'pos': 0.737, 'compound': 0.4215}",0.4215,2,2
Absolute rubbish!NOT GOOD,1.0,3,0,1,,Negative,"{'neg': 0.0, 'neu': 0.338, 'pos': 0.662, 'compound': 0.6027}",0.6027,0,3
awwwwwwwwsome ÃÂ°ÃÂÃÂÃÂ,5.0,2,1,0,,Positive,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,2,2
Good but expensive 💸🤔,3.0,4,0,0,💸🤔,Positive,"{'neg': 0.0, 'neu': 0.606, 'pos': 0.394, 'compound': 0.2382}",0.2382,2,4
Super! Great deal and quality,5.0,5,0,1,,Positive,"{'neg': 0.0, 'neu': 0.266, 'pos': 0.734, 'compound': 0.8516}",0.8516,2,5
Just wow! Great Product,5.0,4,0,1,,Positive,"{'neg': 0.0, 'neu': 0.196, 'pos': 0.804, 'compound': 0.8478}",0.8478,2,4
Fantastic,4.0,1,0,1,,Positive,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.5574}",0.5574,2,1
BEST PRODUCT AND BEST BUY,4.0,5,0,1,,Positive,"{'neg': 0.0, 'neu': 0.263, 'pos': 0.737, 'compound': 0.8555}",0.8555,2,5
Very usefull Product,3.0,3,0,1,,Neutral,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,1,3
Go for it without any second thoughts!,5.0,7,0,1,,Positive,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,2,7
"साधा प्रॉडक्ट आहे, काही खास नाही.",3.0,6,0,0,,Neutral,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,1,6
Good for the price,3.0,4,0,1,,Positive,"{'neg': 0.0, 'neu': 0.508, 'pos': 0.492, 'compound': 0.4404}",0.4404,2,4
50 - 50,3.0,3,0,1,,Neutral,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,1,3
Does it's job,4.0,3,0,1,,Positive,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,2,3
Disappointed,4.0,1,0,1,,Positive,"{'neg': 1.0, 'neu': 0.0, 'pos': 0.0, 'compound': -0.4767}",-0.4767,2,1
Excellent product,5.0,2,1,1,,Positive,"{'neg': 0.0, 'neu': 0.213, 'pos': 0.787, 'compound': 0.5719}",0.5719,2,2
Happy with it,5.0,3,0,1,,Positive,"{'neg': 0.0, 'neu': 0.351, 'pos': 0.649, 'compound': 0.5719}",0.5719,2,3
"Value for money, highly recommended! 😊👍",5.0,6,0,0,😊👍,Positive,"{'neg': 0.0, 'neu': 0.455, 'pos': 0.545, 'compound': 0.5838}",0.5838,2,6
Worth,5.0,1,1,1,,Positive,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.2263}",0.2263,2,1
बैटरी बैकअप बहुत कम है इसका।,2.0,6,0,0,,Negative,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0,6
SUPERB,5.0,1,1,1,,Positive,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.6249}",0.6249,2,1
"Big, sturdy, worth the price",5.0,5,0,1,,Positive,"{'neg': 0.0, 'neu': 0.678, 'pos': 0.322, 'compound': 0.2263}",0.2263,2,5
Awesome M1 chip air,5.0,4,0,1,,Positive,"{'neg': 0.0, 'neu': 0.423, 'pos': 0.577, 'compound': 0.6249}",0.6249,2,4
Value for money product,4.0,4,0,1,,Positive,"{'neg': 0.0, 'neu': 0.556, 'pos': 0.444, 'compound': 0.34}",0.34,2,4
Good product. Recommended,5.0,3,0,1,,Positive,"{'neg': 0.0, 'neu': 0.175, 'pos': 0.825, 'compound': 0.5719}",0.5719,2,3
"Easy to assemble, super comfortable!",5.0,5,0,1,,Positive,"{'neg': 0.0, 'neu': 0.161, 'pos': 0.839, 'compound': 0.8858}",0.8858,2,5
Awesome Product,5.0,2,1,1,,Positive,"{'neg': 0.0, 'neu': 0.196, 'pos': 0.804, 'compound': 0.6249}",0.6249,2,2
Good product by Hero,5.0,4,0,1,,Positive,"{'neg': 0.0, 'neu': 0.235, 'pos': 0.765, 'compound': 0.7579}",0.7579,2,4
Great product.,5.0,2,1,1,,Positive,"{'neg': 0.0, 'neu': 0.196, 'pos': 0.804, 'compound': 0.6249}",0.6249,2,2
वापरण्यास सोपे आणि हलके आहे.,4.0,5,0,0,,Positive,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,2,5
Feedback,4.0,1,0,1,,Positive,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,2,1
Stop selling this. and stop buying this.,1.0,7,0,1,,Negative,"{'neg': 0.468, 'neu': 0.532, 'pos': 0.0, 'compound': -0.5267}",-0.5267,0,7
Received broken plate and bowl,2.0,5,0,1,,Negative,"{'neg': 0.437, 'neu': 0.563, 'pos': 0.0, 'compound': -0.4767}",-0.4767,0,5
Every Penny Worth for this Product Awesome Product @ Awesome,5.0,10,0,1,,Positive,"{'neg': 0.0, 'neu': 0.373, 'pos': 0.627, 'compound': 0.8779}",0.8779,2,10
This Product is very good and Taste Enhancer works perfect..,5.0,10,0,1,,Positive,"{'neg': 0.0, 'neu': 0.738, 'pos': 0.262, 'compound': 0.4927}",0.4927,2,10
Best one at this price range,4.0,6,0,1,,Positive,"{'neg': 0.0, 'neu': 0.543, 'pos': 0.457, 'compound': 0.6369}",0.6369,2,6
Excellent service from Flipkart,4.0,4,0,1,,Positive,"{'neg': 0.0, 'neu': 0.448, 'pos': 0.552, 'compound': 0.5719}",0.5719,2,4
"बढ़िया काम कर रहा है, highly recommended!",5.0,7,0,0,,Positive,"{'neg': 0.0, 'neu': 0.716, 'pos': 0.284, 'compound': 0.3367}",0.3367,2,7
"एकदम झकास, बहुत बढ़िया लगा!",5.0,5,0,0,,Positive,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,2,5
Good choice always,5.0,3,0,1,,Positive,"{'neg': 0.0, 'neu': 0.408, 'pos': 0.592, 'compound': 0.4404}",0.4404,2,3
Insurance more charges paid .,3.0,5,0,1,,Negative,"{'neg': 0.444, 'neu': 0.556, 'pos': 0.0, 'compound': -0.3384}",-0.3384,0,5
"डिस्प्ले चांगला नाही, डोळ्यांना त्रास होतो.",2.0,6,0,0,,Negative,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0,6
Good Product Quick Delivery,4.0,4,0,1,,Positive,"{'neg': 0.0, 'neu': 0.508, 'pos': 0.492, 'compound': 0.4404}",0.4404,2,4
"Mixing, Grinding, chopping FANTASTIC. Shredding not so GREAT",3.0,8,0,1,,Negative,"{'neg': 0.318, 'neu': 0.396, 'pos': 0.286, 'compound': -0.1239}",-0.1239,0,8
Nice product with free installation service,5.0,6,0,1,,Positive,"{'neg': 0.0, 'neu': 0.396, 'pos': 0.604, 'compound': 0.7269}",0.7269,2,6
EXCELLENT PRODUCT FROM AGARO,5.0,4,0,1,,Positive,"{'neg': 0.0, 'neu': 0.448, 'pos': 0.552, 'compound': 0.5719}",0.5719,2,4
Very bad. It got burnt from the inside after 2 times.,1.0,11,0,1,,Negative,"{'neg': 0.296, 'neu': 0.704, 'pos': 0.0, 'compound': -0.5849}",-0.5849,0,11
Product changed,1.0,2,0,1,,Negative,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0,2
Happy wife,4.0,2,0,1,,Positive,"{'neg': 0.0, 'neu': 0.213, 'pos': 0.787, 'compound': 0.5719}",0.5719,2,2
Not a premium product...,3.0,4,0,1,,Neutral,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,1,4
Awesome product,5.0,2,1,1,,Positive,"{'neg': 0.0, 'neu': 0.196, 'pos': 0.804, 'compound': 0.6249}",0.6249,2,2
Pls refund the amount and take your machine back,1.0,9,0,1,,Negative,"{'neg': 0.0, 'neu': 0.86, 'pos': 0.14, 'compound': 0.0772}",0.0772,0,9
"Recommended, Nice Product, Fast Delivery. Worth for money.",5.0,8,0,1,,Positive,"{'neg': 0.0, 'neu': 0.435, 'pos': 0.565, 'compound': 0.6705}",0.6705,2,8
ठीक है पर लंबे समय तक चलेगा या नहीं पता नहीं।,3.0,11,0,0,,Neutral,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,1,11
BEST PRODUCT ! BEST PRICE ! JUST  GO FOR IT !,5.0,11,0,1,,Positive,"{'neg': 0.0, 'neu': 0.393, 'pos': 0.607, 'compound': 0.8827}",0.8827,2,11
inalsa food processor,5.0,3,0,1,,Positive,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,2,3
"Not DIY, buy at your own discretion",2.0,7,0,1,,Negative,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0,7
okay,3.0,1,0,1,,Positive,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.2263}",0.2263,2,1
"नेक्स्ट डे डिलिव्हरी मिळाली, अमेझिंग!",5.0,5,0,0,,Positive,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,2,5
Superb!,5.0,1,1,1,,Positive,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.6588}",0.6588,2,1
वॉरंटी कार्ड साथ में नहीं मिला।,2.0,6,0,0,,Negative,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0,6
Good Grinder,5.0,2,1,1,,Positive,"{'neg': 0.0, 'neu': 0.256, 'pos': 0.744, 'compound': 0.4404}",0.4404,2,2
"Worst experience, काम नाही करत हे नीट, don't buy.",1.0,9,0,0,,Negative,"{'neg': 0.339, 'neu': 0.661, 'pos': 0.0, 'compound': -0.6249}",-0.6249,0,9
West money,1.0,2,0,1,,Negative,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0,2
Bad choice,2.0,2,0,1,,Negative,"{'neg': 0.778, 'neu': 0.222, 'pos': 0.0, 'compound': -0.5423}",-0.5423,0,2
Waste of money,1.0,3,0,1,,Negative,"{'neg': 0.583, 'neu': 0.417, 'pos': 0.0, 'compound': -0.4215}",-0.4215,0,3
Literally life changing!,5.0,3,0,1,,Positive,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,2,3
Not worth the money. The quality is poor and it stopped working after a week. 😞💔,2.0,16,0,0,😞💔,Negative,"{'neg': 0.357, 'neu': 0.643, 'pos': 0.0, 'compound': -0.6874}",-0.6874,0,16
Good toy.,3.0,2,0,1,,Positive,"{'neg': 0.0, 'neu': 0.256, 'pos': 0.744, 'compound': 0.4404}",0.4404,2,2
Heating Issue,2.0,2,0,1,,Negative,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0,2
Awesome purchase,5.0,2,1,1,,Positive,"{'neg': 0.0, 'neu': 0.196, 'pos': 0.804, 'compound': 0.6249}",0.6249,2,2
बटण नीट काम करत नाहीत.,2.0,5,0,0,,Negative,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0,5
Very useful product,4.0,3,0,1,,Positive,"{'neg': 0.0, 'neu': 0.385, 'pos': 0.615, 'compound': 0.4927}",0.4927,2,3
Wonderful milton no-1 brond superb,4.0,5,0,1,,Positive,"{'neg': 0.0, 'neu': 0.278, 'pos': 0.722, 'compound': 0.8316}",0.8316,2,5
"खूपच खराब प्रॉडक्ट, पैसे वाया गेले! 👎",1.0,7,0,0,👎,Negative,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0,7
Not worth the price. The quality is poor and it broke after a week of use. 😞💔,2.0,17,0,0,😞💔,Negative,"{'neg': 0.368, 'neu': 0.632, 'pos': 0.0, 'compound': -0.7626}",-0.7626,0,17
Pretty good but non steady due to length mismatch of legs.,4.0,11,0,1,,Positive,"{'neg': 0.0, 'neu': 0.69, 'pos': 0.31, 'compound': 0.4678}",0.4678,2,11
grind to your hearts content,5.0,5,0,1,,Positive,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,2,5
Worthless,1.0,1,0,1,,Negative,"{'neg': 1.0, 'neu': 0.0, 'pos': 0.0, 'compound': -0.4404}",-0.4404,0,1
Biggest mistake of my life!,1.0,5,0,1,,Negative,"{'neg': 0.402, 'neu': 0.598, 'pos': 0.0, 'compound': -0.4003}",-0.4003,0,5
Best buy. Perfect for daily needs,5.0,6,0,1,,Positive,"{'neg': 0.0, 'neu': 0.336, 'pos': 0.664, 'compound': 0.836}",0.836,2,6
PTZ Camera,5.0,2,1,1,,Positive,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,2,2
Good and easy to use.,4.0,5,0,1,,Positive,"{'neg': 0.0, 'neu': 0.341, 'pos': 0.659, 'compound': 0.7003}",0.7003,2,5
Excellent. Must Buy,5.0,3,0,1,,Positive,"{'neg': 0.0, 'neu': 0.351, 'pos': 0.649, 'compound': 0.5719}",0.5719,2,3
Super! quality,5.0,2,1,1,,Positive,"{'neg': 0.0, 'neu': 0.193, 'pos': 0.807, 'compound': 0.636}",0.636,2,2
Good product,4.0,2,0,1,,Positive,"{'neg': 0.0, 'neu': 0.256, 'pos': 0.744, 'compound': 0.4404}",0.4404,2,2
Over all good product,5.0,4,0,1,,Positive,"{'neg': 0.0, 'neu': 0.508, 'pos': 0.492, 'compound': 0.4404}",0.4404,2,4
"Mind blowing Machine with all in(Mixing, Chopping, Grinding)",5.0,8,0,1,,Positive,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,2,8
Nice Juicer.,5.0,2,1,1,,Positive,"{'neg': 0.0, 'neu': 0.263, 'pos': 0.737, 'compound': 0.4215}",0.4215,2,2
CHEATED,1.0,1,0,1,,Negative,"{'neg': 1.0, 'neu': 0.0, 'pos': 0.0, 'compound': -0.5106}",-0.5106,0,1
Best Choice Dry-Iron for Hostel and/or PG students,5.0,8,0,1,,Positive,"{'neg': 0.0, 'neu': 0.625, 'pos': 0.375, 'compound': 0.6369}",0.6369,2,8
Absolute rubbish!,1.0,2,0,1,,Negative,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0,2
Product & Delivery was awsome but for demo we have to pay,4.0,12,0,1,,Positive,"{'neg': 0.138, 'neu': 0.862, 'pos': 0.0, 'compound': -0.1531}",-0.1531,2,12
Good 360 rotation product,5.0,4,0,1,,Positive,"{'neg': 0.0, 'neu': 0.508, 'pos': 0.492, 'compound': 0.4404}",0.4404,2,4
Almost Good,4.0,2,0,1,,Positive,"{'neg': 0.0, 'neu': 0.277, 'pos': 0.723, 'compound': 0.3832}",0.3832,2,2
"Ekdam bakwas quality, paise fukat gele 😡👎",1.0,7,0,0,😡👎,Negative,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0,7
GOOD PRICE ...EXCELLENT PRODUCT,5.0,4,0,1,,Positive,"{'neg': 0.0, 'neu': 0.508, 'pos': 0.492, 'compound': 0.4404}",0.4404,2,4
My Dishwasher- Neptune VX,5.0,4,0,1,,Positive,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,2,4
Nice for kids and teens !!,4.0,6,0,1,,Positive,"{'neg': 0.0, 'neu': 0.596, 'pos': 0.404, 'compound': 0.5242}",0.5242,2,6
"A good, reliable, Sine wave invertor.",4.0,6,0,1,,Positive,"{'neg': 0.0, 'neu': 0.58, 'pos': 0.42, 'compound': 0.4404}",0.4404,2,6
Customer Support not available.,1.0,4,0,1,,Negative,"{'neg': 0.0, 'neu': 0.526, 'pos': 0.474, 'compound': 0.4019}",0.4019,0,4
Gud quality by Bajaj and Packing is also very gud by Flipkart.,3.0,12,0,1,,Neutral,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,1,12
Not recommended at all | Worst Product cheap quality,1.0,9,0,1,,Negative,"{'neg': 0.487, 'neu': 0.513, 'pos': 0.0, 'compound': -0.69}",-0.69,0,9
A good handy 4k media streamer with few problems,3.0,9,0,1,,Positive,"{'neg': 0.233, 'neu': 0.517, 'pos': 0.25, 'compound': 0.0516}",0.0516,2,9
Packing itself was in doubtful state. not working at all.,1.0,10,0,1,,Negative,"{'neg': 0.211, 'neu': 0.789, 'pos': 0.0, 'compound': -0.34}",-0.34,0,10
Easy to clean and good to use,5.0,7,0,1,,Positive,"{'neg': 0.0, 'neu': 0.32, 'pos': 0.68, 'compound': 0.8176}",0.8176,2,7
Woww Product...,5.0,2,1,1,,Positive,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,2,2
"Poor Quality, Don't Waste Your Money !",1.0,7,0,1,,Negative,"{'neg': 0.349, 'neu': 0.411, 'pos': 0.24, 'compound': -0.264}",-0.264,0,7
Excellent laptop!,5.0,2,1,1,,Positive,"{'neg': 0.0, 'neu': 0.2, 'pos': 0.8, 'compound': 0.6114}",0.6114,2,2
good entrylevel product,4.0,3,0,1,,Positive,"{'neg': 0.0, 'neu': 0.408, 'pos': 0.592, 'compound': 0.4404}",0.4404,2,3
Must Buy.......,5.0,2,1,1,,Positive,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,2,2
"एकदम ओरिजिनल है, क्वालिटी बहुत भारी है।",5.0,7,0,0,,Positive,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,2,7
not a great product comparing to its price,3.0,8,0,1,,Negative,"{'neg': 0.354, 'neu': 0.646, 'pos': 0.0, 'compound': -0.5096}",-0.5096,0,8
awesome,5.0,1,1,1,,Positive,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.6249}",0.6249,2,1
Priced good!,4.0,2,0,1,,Positive,"{'neg': 0.0, 'neu': 0.239, 'pos': 0.761, 'compound': 0.4926}",0.4926,2,2
"काफी समय से ढूंढ रहा था, फाइनली मिल गया!",5.0,9,0,0,,Positive,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,2,9
Worth for Money..,4.0,3,0,1,,Positive,"{'neg': 0.0, 'neu': 0.513, 'pos': 0.487, 'compound': 0.2263}",0.2263,2,3
Good for simple work and medium gaming,4.0,7,0,1,,Positive,"{'neg': 0.0, 'neu': 0.674, 'pos': 0.326, 'compound': 0.4404}",0.4404,2,7
Consistent performer,4.0,2,0,1,,Positive,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,2,2
"वजन खूप जास्त आहे, पकडायला त्रास होतो.",2.0,7,0,0,,Negative,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0,7
Awesome deal!!,5.0,2,1,1,,Positive,"{'neg': 0.0, 'neu': 0.176, 'pos': 0.824, 'compound': 0.6892}",0.6892,2,2
Easy to setup,5.0,3,0,1,,Positive,"{'neg': 0.0, 'neu': 0.408, 'pos': 0.592, 'compound': 0.4404}",0.4404,2,3
Bad product really disappointed,1.0,4,0,1,,Negative,"{'neg': 0.775, 'neu': 0.225, 'pos': 0.0, 'compound': -0.7841}",-0.7841,0,4
Moderate,2.0,1,0,1,,Negative,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0,1
"सर्व्हिस खूप स्लो आहे, डिलिव्हरी उशिरा मिळाली.",2.0,7,0,0,,Negative,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0,7
marvelous,5.0,1,1,1,,Positive,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.5994}",0.5994,2,1
"Not very sturdy, low height.",1.0,5,0,1,,Negative,"{'neg': 0.0, 'neu': 0.664, 'pos': 0.336, 'compound': 0.2547}",0.2547,0,5
प्रोडक्ट पर खरोंच के निशान थे।,2.0,6,0,0,,Negative,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0,6
Good cycle,4.0,2,0,1,,Positive,"{'neg': 0.0, 'neu': 0.256, 'pos': 0.744, 'compound': 0.4404}",0.4404,2,2
amazing coloured prints. :),4.0,4,0,1,,Positive,"{'neg': 0.0, 'neu': 0.227, 'pos': 0.773, 'compound': 0.7783}",0.7783,2,4
Go For It,5.0,3,0,1,,Positive,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,2,3
Nice one,4.0,2,0,1,,Positive,"{'neg': 0.0, 'neu': 0.263, 'pos': 0.737, 'compound': 0.4215}",0.4215,2,2
delivery was one day late,4.0,5,0,1,,Positive,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,2,5
best routes,4.0,2,0,1,,Positive,"{'neg': 0.0, 'neu': 0.192, 'pos': 0.808, 'compound': 0.6369}",0.6369,2,2
wonderful little microwave,5.0,3,0,1,,Positive,"{'neg': 0.0, 'neu': 0.351, 'pos': 0.649, 'compound': 0.5719}",0.5719,2,3
Same as b4,5.0,3,0,1,,Positive,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,2,3
mind blowing,5.0,2,1,1,,Positive,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,2,2
supports win8.1 and cable broadband,4.0,5,0,1,,Positive,"{'neg': 0.0, 'neu': 0.615, 'pos': 0.385, 'compound': 0.3612}",0.3612,2,5
Great Buy,5.0,2,1,1,,Positive,"{'neg': 0.0, 'neu': 0.196, 'pos': 0.804, 'compound': 0.6249}",0.6249,2,2
"नक्कीच घ्या, डोळे झाकून विश्वास ठेवा.",5.0,6,0,0,,Positive,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,2,6
