review_text,rating
Absolute rubbish!,1.0
Great value,5.0
Mi tv,4.0
PRODUCT IS GOOD.SELLER is CHEATING.FLIPKART Service TOO SLOW,4.0
Just go for it!,5.0
Good Power Bank,4.0
Great seller,5.0
D-Link DIR-615 Wireless N 300 Router,4.0
okay product,3.0
"Good in performance, but need improvement in design.",4.0
Very Good Product,5.0
Best in the market!  - Superb - purifier!!!!,5.0
Great Inverter,5.0
Worth the price - room for improvement and software upgrade,4.0
food processor,5.0
grind to your hearts content,5.0
"Awesomenice  prodect ,,",5.0
Good cycle,4.0
very Nice,3.0
Super! Great deal and quality,5.0
"Versatile, simple and a performer",5.0
Recamended Product,3.0
Much better than hand wash.,5.0
Nice.,5.0
"Beware, You might get a habits to just ask Assistant",4.0
Fair,3.0
Genunie product worth the money!!!,5.0
Great Product :),5.0
Wireless Range is Good,5.0
nice feeling,5.0
Nice and superb,5.0
Horrible brand.. panel gone in 18 months,1.0
Bajaj GX1 500 W Mixer Grinder,3.0
Overall,4.0
Great Mixer,5.0
Very hard ball,2.0
A must have gadget for a smart home,5.0
Sharp upper edges.,1.0
Perfect product !,5.0
Fabulous!!!,5.0
Excellent laptop!,5.0
working good and osm speed nice!!,5.0
Not recommended at all,1.0
Awesome purchase,5.0
Amazing product!,5.0
Utterly disspointed with Taste,1.0
Best RO within range,5.0
"The motor is good, but the engineering is terrible",2.0
Good choice,4.0
worst football ever..!!  good service by flipkart:),2.0
Good Product but charges for installation and Pipes,3.0
Awesome Soundbar,5.0
Best sewing machine,5.0
Great product,5.0
Ideal for Beginners,5.0
Waste of money!,1.0
Buy if you need a small portable wired speaker.,3.0
Decent quality,4.0
Just okayTV is good but delivery guy behavior was not good.,3.0
UT7002S26 model is a no-nonsense bicycle...worth buying,5.0
Super!Excelleant product,5.0
UNSATISFACTORY,1.0
Acceptable,3.0
this model has issue in wifi,1.0
Worth the moneygood,4.0
nice product,5.0
Bajaj solo microwave is a great product,5.0
Super,5.0
Delightful and nice to have this product.,4.0
awesome but quite hard,4.0
Excellent Product Extremely Quick Delivery,5.0
Just wow!,5.0
Excellent Product at Reasonable Price,5.0
high class speakers,5.0
rubbish,2.0
wrost product,1.0
Best smartphone under 10k.,5.0
Buy and Enjoy...,5.0
Nice,3.0
perfect product,5.0
Pretty good but non steady due to length mismatch of legs.,4.0
not good gx1,2.0
Product quality is low,1.0
Just go fot it if you want decent gaming keyboard in budget,4.0
Classy Product,5.0
A good water purifier in budget with good aftersale service,4.0
Best water purifier in this price range,4.0
"VERY BAD PRODUCT , DONT BUY THIS",1.0
Over all good !!,4.0
This is early review.. will update later,5.0
very bad quality,1.0
Wonderful Product and Super Saver,5.0
Worth every pennyvery good product...,5.0
Reliable and easy to use very good job bajaj...,5.0
Very Good Microwave oven,5.0
Best in the market,5.0
Mind-blowing purchase at this Price Point,5.0
Good Flask it is.,5.0
Not recommended at all | Worst Product cheap quality,1.0
Met Expectations,3.0
Pretty cool product,5.0
Keep it up.,5.0
Product = 10/10,5.0
Wonderful product and quick delivery.,5.0
Impressive!!!!,5.0
Damaged,2.0
Performance of Bajaj FX 7,1.0
Moderate,2.0
good choice for singles,5.0
Awesome Both Product & Service...,5.0
"Simple , Value for money",5.0
Same as b4,5.0
Stop Working With in ONE MONTH of Usage,1.0
Prithvi,4.0
genuine product,5.0
Good cooler,5.0
Great Deal for a budget gaming laptop,5.0
Ok. for the price,4.0
Must buy!Go for it..,5.0
Loved it,5.0
Bajaj 1701MT 17 L Solo Microwave Oven,3.0
Good. BT bowls are too short,3.0
Best one in this price range,5.0
Excellent Iron Box for cheap Price.,5.0
BEST PRODUCT ! BEST PRICE ! JUST  GO FOR IT !,5.0
Good Product..,4.0
best ball ever....,5.0
Budget one,4.0
not a great product comparing to its price,3.0
Excellent product as well as delivery service,5.0
if you have wifi at home then go for it,5.0
Fantastic.....,5.0
Worth deal!,5.0
Very Goodreat product,4.0
Issue With Range,3.0
Must buy! its Awesome excellent features.,5.0
Amazing Good for Its price,5.0
Good Product & Delivery,3.0
Nice Juicer for Health concise people,5.0
Good choice for a busy household,5.0
pre-install windows 11,5.0
Nice product at awesome price.,4.0
Upgrade your network!!!,4.0
Rubber will hurt,4.0
A third hand for my Mom!,5.0
Excellent Juicer,5.0
Easy to grind..!!,5.0
Good Seller and Genuine Ink,5.0
Express delivery in 1 day,4.0
Good product in repeating wifi but not the speed of host net,2.0
Awesome product..,5.0
FLIPKART'S SERVICE IS VERY GOOD AND SATISFACTORY.,4.0
Good product and delivery,5.0
Awesome Thermostat Water Bottle with longer capability,5.0
beyond satisfactory,4.0
Terrific,5.0
Good Performance,4.0
Decent,5.0
Best Product in Best Price,5.0
Product is awsm and service is worse,5.0
good quality for Rs.200.,4.0
"Good looks, good installation service, but weak material.",4.0
Amazing product at cheap price,5.0
Not recommended at allused product,1.0
IFB MACHINE WORKS WELL WITH FORTUNE DETERGENT +&-,5.0
A good handy 4k media streamer with few problems,3.0
IFB Dishwasher usage & utility,4.0
"Except for Sound and Battery, all is good.",4.0
Economical Feature phone with good functionality,5.0
supports win8.1 and cable broadband,4.0
Worst product,1.0
Low Quality,1.0
Wonderful Fridge.,5.0
Best to Buy From Flipkart,5.0
Delightful product,4.0
Awesome daily use crockery,5.0
Neptune VX Dishwasher,5.0
Gud quality by Bajaj and Packing is also very gud by Flipkart.,3.0
Excellent and must Buy,5.0
Quality product from philips,4.0
amazingly superb,5.0
IT PERFORMS GREAT,5.0
Packing itself was in doubtful state. not working at all.,1.0
An absolute beast!,5.0
Wow,5.0
Great Product,5.0
Bought this for making chutney bt couldn't get max use of it,3.0
Good buy a genuine cartridge,5.0
Super product,5.0
Mind-blowing purchase >>> Just for it,5.0
Absolute rubbish! Waste of Money. Very Very BAD,1.0
Really Nice Product,4.0
Heating Issue,2.0
Badly disappointed,2.0
Waste of money- bad sound bad mic,1.0
Need to check,4.0
DAILY USAGE,4.0
Pretty Good Quality.,5.0
"Met Expectations, Clean Dishes, Low Noise, Economical",5.0
Good product at really low price,4.0
meet the expections,5.0
Working fine with BSNL 3G,4.0
Literally life changing!,5.0
Gud experience with filpkart,5.0
Received broken plate and bowl,2.0
Three Stars,3.0
terrible product,1.0
Happy it is working well.,5.0
"Great Product, but MADE IN CHINA. False info by Flipkart",3.0
super product,5.0
Loooong Lasting,5.0
review after 1 and half years,5.0
one of the best inverter,3.0
"Nice picture, good sound and really smart TV",5.0
worth buying,4.0
GOOD Product,4.0
Not good,2.0
Very Usefull buy - will make ur wife happy...,5.0
Good One,5.0
Fabulous! must buy,5.0
inalsa is good,2.0
a good product but switch gets stuck most of the time !!!!!!!!,4.0
fast delivery,3.0
Best one at this price range,4.0
Excellent product!,5.0
Worst experience ever! Faulty Machine & zero response from f,1.0
Lenovo is the best,5.0
Nice product in this price.,4.0
The dlink product is good to purchase,3.0
Really recommended and works great.,5.0
Worth every penny,5.0
Nice product.,5.0
Great buy,4.0
very bad product,1.0
Brilliant (Must have product in kitchen),5.0
Really bad product,1.0
Awesome product with quick delivery,5.0
Nice Product and very fast delivery,5.0
Appropriate size and good quality.,4.0
"Best,M happy with it",5.0
Great Microwave,5.0
Philips HR 1832,5.0
Wondeful purchase. Very good experience until now.,5.0
Good basic microwave oven,4.0
Good Deal,5.0
Satisfactory performance. bit noisy though,4.0
Superb!,5.0
Nice and Useful Product,4.0
CHEAPER ONLY BECAUSE OF COST CUTTING,1.0
Best In Class and Sturdy for Room Decoration.,5.0
damage product delivery and quality is very poor,1.0
Amazing camera,5.0
Bad product really disappointed,1.0
Entry Level DSLR.,4.0
Came with broken cover.,2.0
Must  kitchen gadget,5.0
Amazing performance,5.0
Awesome Product and Good Styling,5.0
Good Quality and Value-for-money,4.0
Terrible product,1.0
Great Camera and Awesome Pan Feature,5.0
Good product value for money,4.0
The best product for Flipkart,4.0
Not worth the price,2.0
Best Choice Dry-Iron for Hostel and/or PG students,5.0
About product,1.0
Amazing Product from IFB!,5.0
after using for 3 weeks,5.0
Must buy!,5.0
delivery was one day late,4.0
World class product at deep discount on big billion day !!,5.0
Best buy!,5.0
Good product by Hero,5.0
Very Good product!,5.0
Worst experience ever!,1.0
only for rich kids,3.0
"Excellent, Works well",5.0
Nice Product by Singer,5.0
chepest Cardtige,5.0
Best Buy for a Beginner,5.0
Great Purchase,4.0
Superb Product by Bajaj & Superb Delivery by Flipkart :) :),5.0
good,5.0
Good for simple work and medium gaming,4.0
Product not working,1.0
Awesome deal!!,5.0
Not recommended,1.0
Happy with it,5.0
Good look,5.0
Wonderful PAISA WASOOL YAAR,5.0
Stopped working in 20 days,1.0
Decent product,3.0
Amazing Dishwasher!!,5.0
AWESOMEÃÂ¢ÃÂÃÂºÃÂ¢ÃÂÃÂº.VALUE FOR MONEY...DOUBLE THUMBS UP FOR THAT,4.0
Nice to see this Product in Very Less Rate,5.0
tough but not like the pic shown here !!,4.0
Great Deal,5.0
Gud Product Hatsoff to flipkart,4.0
5 months only,2.0
Food processor means Inalsa,5.0
2 Thumbs up !!,5.0
Great experience with IFB Dishwasher,5.0
Go for it !!,5.0
Customer Support not available.,1.0
Very satisfactory,3.0
product is good for under 500 rupees.,4.0
HP Black 678,1.0
Good but nothing fancy,5.0
Fabulous!Awesome smart home device with display. Love it.,5.0
"Compact, value for money",5.0
GOOD,4.0
Super! quality,5.0
Okay TV,3.0
Different type of football,3.0
